,feat1_0,feat1_1,feat1_2,feat1_3,feat1_4,feat1_5,feat1_6,feat1_7,feat1_8,feat1_9,feat2_0.3,feat2_0.4,feat2_0.5,feat2_0.6,feat2_0.7,feat2_0.8,feat2_0.9,feat3_eq_0,feat3_eq_1,feat3_eq_2,feat3_eq_3,feat3_eq_4,feat3_bd_0,feat3_bd_1,feat3_com_0,feat3_com_1,feat3_com_2,feat4_eq_0.3,feat4_eq_0.4,feat4_eq_0.5,feat4_eq_0.6,feat4_eq_0.7,feat4_eq_0.8,feat4_eq_0.9,feat4_bd_0.3,feat4_bd_0.4,feat4_bd_0.5,feat4_bd_0.6,feat4_bd_0.7,feat4_bd_0.8,feat4_bd_0.9,feat4_com_0.3,feat4_com_0.4,feat4_com_0.5,feat4_com_0.6,feat4_com_0.7,feat4_com_0.8,feat4_com_0.9,feat5_0,feat5_1,feat5_2,feat5_3,feat6_eq_max,feat6_eq_min,feat6_bd_max,feat6_bd_min,feat6_com_max,feat6_com_min
158,0.3324094303637266,0.2108555706915254,0.1184078223740935,0.1096402425965749,0.0753780879267554,0.037913043528446,0.0270513593546811,0.0178428832172908,0.0152379433689171,0.0119825642812974,1,2,2,3,4,5,7,0.6958095356612498,0.0950477389752496,0.0630485331221024,0.0406045755799979,0.0306828868128212,0.9466243628142348,0.0392869337625405,0.4058564423831445,0.2109430659587041,0.1970600417437928,1,1,1,1,2,3,5,1,1,1,1,1,1,1,1,1,2,2,3,3,4,0.6474525923454965,0.1138962109512475,0.0771794284144238,0.0497296744636221,0.0244582856768534,-0.0325314160625824,0.0050191324068595,-0.004561818477892,0.0776579131084907,-0.0337657256104506
61,0.4606069981428794,0.1421004297472595,0.1321760376361487,0.1074876534248588,0.0577921836558748,0.019310029166465,0.0179986767634634,0.0132476080962514,0.0112434425499045,0.009440369135786,1,1,2,2,3,4,5,0.53662872547672,0.2180665464385237,0.0696090535343099,0.0550472836217128,0.0439659299010013,0.9543419806895014,0.0420240066612578,0.5541067974359026,0.1681320334292582,0.1585736024998715,1,1,1,2,2,3,5,1,1,1,1,1,1,1,1,1,1,2,2,3,4,0.4967105059145943,0.2458437950861903,0.0791576103384786,0.0601274166358829,0.0263819276902839,-0.037366445692183,0.0047529321260277,-0.0042535380681873,0.0801043922801623,-0.147401240488673
121,0.3834876338586854,0.2035799832391545,0.1433285401816946,0.1132713931606154,0.0660684233157248,0.0228587223587914,0.0199040623549294,0.0102551093991177,0.0076570833521079,0.0057708475468386,1,2,2,3,3,4,5,0.7558114560183514,0.0956321967389857,0.0423820738130466,0.0297873703372916,0.0224160058227504,0.9242445098877188,0.0682985157541759,0.4181078569426781,0.2654175006859825,0.1766903071889027,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,2,2,3,3,4,0.722216723093229,0.1137614695851779,0.048450216060411,0.0352238626780139,0.0300647966450234,-0.0370313115375204,0.006372920996052,-0.0055803392423831,0.0820396416181741,-0.1053263387238355
60,0.3684938308921675,0.2226275396927564,0.1433458938460029,0.1048709159764847,0.0575078738024066,0.0238876402538282,0.0161150467357213,0.0116681671266245,0.0110938489468104,0.01031123114136,1,2,2,3,3,4,6,0.5608819431041981,0.2313640125975669,0.059491483572047,0.0454460819740163,0.0362113169487145,0.909018071028128,0.0872504381841949,0.4387787812217374,0.2735163487643191,0.1656275727017665,1,1,1,2,2,3,5,1,1,1,1,1,1,1,1,1,2,2,2,3,4,0.522997467412976,0.2598278741957522,0.0677645568300504,0.0504982547280818,0.044112258861324,-0.037366445692183,0.0047529321260277,-0.0044171435894988,0.0619374365334666,-0.0626485186849615
33,0.3248301064652296,0.2246061733530363,0.1187087865787032,0.1142720596712735,0.0719894469260163,0.0337796771252014,0.0278407825585677,0.015697367585974,0.0122163574017659,0.0109490229364544,1,2,2,3,4,5,7,0.650398526291704,0.1029790910332487,0.081691586295969,0.0447945997841552,0.032036405704656,0.961933332828013,0.0324248457312734,0.4858189529876154,0.1752195392295771,0.1694412552163997,1,1,1,1,2,3,5,1,1,1,1,1,1,1,1,1,2,2,3,3,4,0.5988931967042225,0.1254761385464015,0.0964936550650184,0.0557214428125995,0.031665433674527,-0.0305658943249878,0.0086471704354262,-0.0103163408254773,0.0648222493278701,-0.069199532873007
84,0.4315050836056222,0.2765845402466357,0.0846562566710397,0.0509640614766954,0.0384191916819526,0.0306635311255251,0.0215281101336188,0.0191125152529011,0.0122634877018863,0.0086981529432606,1,1,2,2,2,4,6,0.7292246389567858,0.1075792590465083,0.0572745589470488,0.0378643823882947,0.0222861258908852,0.8195398621465574,0.153897286682098,0.602671807756075,0.1855489262324264,0.112985860759645,1,1,1,1,1,2,4,1,1,1,1,1,1,2,1,1,1,1,2,3,3,0.6934278451645856,0.1245862563608987,0.0655900434166352,0.0438197200490814,0.0814985795786899,-0.0649406615678325,0.0094964461443571,-0.0109115469125911,0.0591504925140593,-0.1132696028574275
136,0.4875214896977034,0.1944358464478576,0.1119251947391992,0.0774920665884412,0.0541596945676084,0.0164579766667619,0.0112918003817046,0.0095112701746089,0.0070851646825973,0.0055521494426737,1,1,2,2,3,4,5,0.8393626857723495,0.0484325074351648,0.0325486774586556,0.0219919211937515,0.0155080492210891,0.73741543008559,0.2495046294738758,0.4987723146224443,0.2109643921413677,0.1468272844230561,1,1,1,1,1,1,3,1,1,1,1,1,2,2,1,1,2,2,2,3,4,0.8133381829068977,0.0581555049115977,0.0385567594222643,0.0265334279531968,0.0328166997026942,-0.0407383300148727,0.0061445455115715,-0.0066097529911094,0.0894540085312992,-0.0585533087515741
125,0.6070922891624064,0.1435981095859303,0.0836357549198194,0.0619006165218383,0.0462341518286259,0.0123376436577916,0.0092012377514358,0.008539116317786,0.0073692663697705,0.0044189158995921,1,1,1,1,2,3,5,0.9325439634306164,0.0213335687167239,0.0123186846797236,0.0093998679453511,0.0078309882544374,0.7176792302429327,0.2705564358327766,0.3948901110925426,0.2335044569715865,0.1649551049983497,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,3,4,4,0.9197461482265866,0.026279129283796,0.0149232397335951,0.0117589670707034,0.0788981802336491,-0.1051823014254117,0.008594187938776,-0.0184310472978449,0.0683377781127211,-0.1040878460619319
126,0.596220754517981,0.2156253129596021,0.0604152450806062,0.0403370099277797,0.0361296804498882,0.0114938336917476,0.0087993499290526,0.0066805382435815,0.0058271206014783,0.0039693804946559,1,1,1,2,2,2,4,0.9366767079116584,0.0188085457599249,0.0105329619367818,0.0098513830863002,0.0069158671479916,0.690797064905612,0.2973177950309847,0.5249013558280273,0.2329023819865266,0.1102695017635606,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,3,4,0.9257876944614668,0.0232202284979915,0.0128155221229708,0.0120462186493917,0.0788981802336491,-0.1051823014254117,0.0086005182524038,-0.0184310472978449,0.0683377781127211,-0.1955448899686439
207,0.3690660343066373,0.18051625297347,0.1351601240747306,0.0797984218299487,0.0621660608730486,0.0414369346839161,0.0374366114309272,0.0196987368905362,0.0169051384346973,0.0139602237047564,1,2,2,3,4,5,7,0.5750963656823432,0.1505354778665643,0.0804592723943737,0.070703255173287,0.0331667880925652,0.885486851879538,0.1049101778818426,0.4459737122098707,0.2772261959880592,0.1577082266282412,1,1,1,2,2,3,5,1,1,1,1,1,1,2,1,1,2,2,2,3,4,0.5387255420861535,0.1669874073160205,0.0874476955644933,0.0787264667250177,0.0326524297499013,-0.0459328443628971,0.0094716698333428,-0.005981422533238,0.0453403037641056,-0.0507889655544686
